Quantidade de evadidos por curso e forma de evasão entre 2018 e 2020.,,,,,,,
,,,2018.1,2018.2,2019.1,2019.2,2020.1
,"13301100 - ADMINISTRAÇÃO - D 
(Campina Grande)",CANCELADO 3 REPROV MESMA DISCIPLINA,0,1,4,2,6
,,CANCELADO NOVO INGRESSO MESMO CURSO,0,0,0,2,2
,,CANCELADO NOVO INGRESSO OUTRO CURSO,0,1,0,4,0
,,CANCELADO REPROVOU TODAS POR FALTAS,3,7,2,2,3
,,CANCELAMENTO DE MATRICULA ,0,0,1,0,1
,,CANCELAMENTO P/ MUDANCA CURSO,1,0,0,1,0
,,CANCELAMENTO P/ SOLICITACAO ALUNO,3,3,9,5,5
,,CANCELAMENTO POR ABANDONO,8,7,5,5,0
,,FALECIMENTO,0,0,0,1,0
,,GRADUADO,26,20,23,12,0
,,Total:,41,39,44,34,17
,"13301200 - ADMINISTRAÇÃO - N 
(Campina Grande)",CANCELADO 3 REPROV MESMA DISCIPLINA,2,0,0,1,0
,,CANCELADO NOVO INGRESSO MESMO CURSO,0,0,0,2,0
,,CANCELADO NOVO INGRESSO OUTRO CURSO,0,0,0,1,0
,,CANCELADO REPROVOU TODAS POR FALTAS,8,7,6,6,6
,,CANCELAMENTO DE MATRICULA ,1,1,0,0,0
,,CANCELAMENTO P/ MUDANCA CURSO,0,0,0,1,2
,,CANCELAMENTO P/ SOLICITACAO ALUNO,2,0,0,1,3
,,CANCELAMENTO POR ABANDONO,6,2,2,1,0
,,GRADUADO,19,1,6,5,0
,,Total:,38,11,14,18,11
,"31301200 - ADMINISTRAÇÃO - N 
(Sousa)",CANCELADO 3 REPROV MESMA DISCIPLINA,0,2,0,3,1
,,CANCELADO NOVO INGRESSO MESMO CURSO,1,0,0,0,0
,,CANCELADO NOVO INGRESSO OUTRO CURSO,0,0,1,0,0
,,2018.1,2018.2,2019.1,2019.2,2020.1
"31301200 - ADMINISTRAÇÃO - N 
(Sousa)",CANCELADO REPROVOU TODAS POR FALTAS,3,1,1,7,3
,CANCELAMENTO DE MATRICULA ,0,1,0,1,3
,CANCELAMENTO P/ MUDANCA CURSO,0,0,0,2,0
,CANCELAMENTO P/ SOLICITACAO ALUNO,0,3,4,2,3
,CANCELAMENTO POR ABANDONO,3,11,3,6,0
,CONCLUIDO - NAO COLOU GRAU,0,0,0,1,1
,GRADUADO,25,5,17,12,0
,Total:,32,23,26,34,11
"91402100 - AGRONOMIA - D 
(Pombal)",CANCELADO 3 REPROV MESMA DISCIPLINA,1,3,1,3,6
,CANCELADO NOVO INGRESSO MESMO CURSO,13,6,8,7,6
,CANCELADO NOVO INGRESSO OUTRO CURSO,0,1,1,0,1
,CANCELADO REPROVOU TODAS POR FALTAS,1,3,4,9,0
,CANCELAMENTO DE MATRICULA ,0,1,0,0,0
,CANCELAMENTO P/ MUDANCA CURSO,0,1,0,0,0
,CANCELAMENTO P/ SOLICITACAO ALUNO,8,0,6,3,3
,CANCELAMENTO POR ABANDONO,11,12,3,7,0
,GRADUADO,16,9,15,15,0
,Total:,50,36,38,44,16
"15101100 - ARQUITETURA E URBANISMO - D 
(Campina Grande)",CANCELADO 3 REPROV MESMA DISCIPLINA,1,0,1,1,0
,CANCELADO NOVO INGRESSO MESMO CURSO,0,3,0,0,0
,CANCELADO NOVO INGRESSO OUTRO CURSO,0,0,1,0,0
,CANCELADO REPROVOU TODAS POR FALTAS,2,2,2,0,4
,CANCELAMENTO P/ SOLICITACAO ALUNO,2,0,2,2,0
,CANCELAMENTO POR ABANDONO,2,3,4,5,0
,GRADUADO,25,9,20,5,0
,Total:,32,17,30,13,4
,,2018.1,2018.2,2019.1,2019.2,2020.1
"13317100 - ARTE E MÍDIA - D 
(Campina Grande)",CANCELADO 3 REPROV MESMA DISCIPLINA,2,1,0,1,0
,CANCELADO NOVO INGRESSO MESMO CURSO,0,1,0,0,0
,CANCELADO REPROVOU TODAS POR FALTAS,3,3,3,3,1
,CANCELAMENTO DE MATRICULA ,0,0,0,0,1
,CANCELAMENTO P/ MUDANCA CURSO,0,0,0,1,0
,CANCELAMENTO P/ SOLICITACAO ALUNO,0,2,1,2,0
,CANCELAMENTO POR ABANDONO,8,3,6,0,0
,GRADUADO,6,13,13,4,0
,Total:,19,23,23,11,2
"14102100 - CIÊNCIA DA COMPUTAÇÃO - D 
(Campina Grande)",CANCELADO 3 REPROV MESMA DISCIPLINA,19,3,5,6,16
,CANCELADO NOVO INGRESSO MESMO CURSO,3,9,0,6,3
,CANCELADO NOVO INGRESSO OUTRO CURSO,1,1,0,2,0
,CANCELADO REPROVOU TODAS POR FALTAS,7,6,6,12,9
,CANCELAMENTO DE MATRICULA ,0,1,0,0,0
,CANCELAMENTO P/ MUDANCA CURSO,0,0,0,2,0
,CANCELAMENTO P/ SOLICITACAO ALUNO,5,6,11,1,6
,CANCELAMENTO POR ABANDONO,10,13,5,11,0
,CONCLUIDO - NAO COLOU GRAU,0,0,1,1,0
,GRADUADO,28,33,47,50,0
,Total:,73,72,75,91,34
"21103114 - CIÊNCIAS - FÍSICA (LIC) - M 
(Cajazeiras)",GRADUADO - DECISAO JUDICIAL,0,0,1,0,0
,Total:,0,0,1,0,0
"41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D 
(Patos)",CANCELADO 3 REPROV MESMA DISCIPLINA,0,0,2,0,1
,CANCELADO NOVO INGRESSO MESMO CURSO,0,0,1,0,1
,CANCELADO NOVO INGRESSO OUTRO CURSO,0,1,0,0,0
,CANCELADO REPROVOU TODAS POR FALTAS,2,8,1,1,4
,,2018.1,2018.2,2019.1,2019.2,2020.1
"41201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D 
(Patos)",CANCELAMENTO DE MATRICULA ,3,0,0,0,1
,CANCELAMENTO P/ MUDANCA CURSO,0,0,0,0,1
,CANCELAMENTO P/ SOLICITACAO ALUNO,7,0,3,0,3
,CANCELAMENTO POR ABANDONO,3,4,3,0,0
,GRADUADO,10,8,9,15,0
,Total:,25,21,19,16,11
"51201110 - CIÊNCIAS BIOLÓGICAS (LIC) - D 
(Cuité)",CANCELADO 3 REPROV MESMA DISCIPLINA,0,1,0,0,0
,CANCELADO NOVO INGRESSO OUTRO CURSO,0,7,1,4,0
,CANCELADO REPROVOU TODAS POR FALTAS,2,0,0,0,2
,CANCELAMENTO DE MATRICULA ,1,0,2,0,1
,CANCELAMENTO P/ MUDANCA CURSO,1,0,0,1,1
,CANCELAMENTO P/ SOLICITACAO ALUNO,1,3,9,2,1
,CANCELAMENTO POR ABANDONO,4,12,1,4,0
,GRADUADO,7,9,9,11,0
,Total:,16,32,22,22,5
"21201110 - CIÊNCIAS BIOLÓGICAS (LIC) - M 
(Cajazeiras)",CANCELADO 3 REPROV MESMA DISCIPLINA,0,1,0,1,0
,CANCELADO NOVO INGRESSO MESMO CURSO,1,0,2,0,0
,CANCELADO NOVO INGRESSO OUTRO CURSO,2,0,0,3,0
,CANCELADO REPROVOU TODAS POR FALTAS,1,2,0,4,4
,CANCELAMENTO DE MATRICULA ,0,2,0,0,1
,CANCELAMENTO P/ SOLICITACAO ALUNO,3,1,2,0,2
,CANCELAMENTO POR ABANDONO,3,7,1,7,0
,GRADUADO,12,11,4,1,0
,Total:,22,24,9,16,7
"41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N 
(Patos)",CANCELADO 3 REPROV MESMA DISCIPLINA,2,0,0,2,2
,CANCELADO NOVO INGRESSO MESMO CURSO,0,1,0,1,0
,,2018.1,2018.2,2019.1,2019.2,2020.1
"41201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N 
(Patos)",CANCELADO NOVO INGRESSO OUTRO CURSO,0,0,2,0,2
,CANCELADO REPROVOU TODAS POR FALTAS,5,3,4,3,10
,CANCELAMENTO P/ MUDANCA CURSO,0,0,0,2,1
,CANCELAMENTO P/ SOLICITACAO ALUNO,2,5,1,0,1
,CANCELAMENTO POR ABANDONO,1,6,7,5,0
,GRADUADO,11,4,8,6,0
,Total:,21,19,22,19,16
"51201210 - CIÊNCIAS BIOLÓGICAS (LIC) - N 
(Cuité)",CANCELADO 3 REPROV MESMA DISCIPLINA,0,0,0,0,1
,CANCELADO NOVO INGRESSO MESMO CURSO,3,0,1,0,0
,CANCELADO NOVO INGRESSO OUTRO CURSO,1,1,0,4,0
,CANCELADO REPROVOU TODAS POR FALTAS,4,0,1,4,4
,CANCELAMENTO DE MATRICULA ,0,0,1,0,1
,CANCELAMENTO P/ MUDANCA CURSO,1,0,0,3,1
,CANCELAMENTO P/ SOLICITACAO ALUNO,3,4,3,2,1
,CANCELAMENTO POR ABANDONO,2,8,4,11,0
,GRADUADO,10,11,3,10,0
,Total:,24,24,13,34,8
"31360200 - CIÊNCIAS CONTÁBEIS - N 
(Sousa)",CANCELADO 3 REPROV MESMA DISCIPLINA,4,0,0,1,1
,CANCELADO NOVO INGRESSO MESMO CURSO,0,0,1,0,1
,CANCELADO NOVO INGRESSO OUTRO CURSO,1,0,0,0,1
,CANCELADO REPROVOU TODAS POR FALTAS,8,4,3,5,5
,CANCELAMENTO DE MATRICULA ,2,1,2,3,0
,CANCELAMENTO P/ MUDANCA CURSO,0,1,0,0,2
,CANCELAMENTO P/ SOLICITACAO ALUNO,3,2,2,1,0
,CANCELAMENTO POR ABANDONO,6,11,3,5,0
,,2018.1,2018.2,2019.1,2019.2,2020.1
"31360200 - CIÊNCIAS CONTÁBEIS - N 
(Sousa)",GRADUADO,0,0,29,10,0
,Total:,24,19,40,25,10
"13304100 - CIÊNCIAS ECONÔMICAS - M 
(Campina Grande)",CANCELADO 3 REPROV MESMA DISCIPLINA,0,2,0,3,1
,CANCELADO NOVO INGRESSO MESMO CURSO,3,0,1,0,2
,CANCELADO NOVO INGRESSO OUTRO CURSO,0,2,0,5,0
,CANCELADO REPROVOU TODAS POR FALTAS,1,11,4,4,4
,CANCELAMENTO DE MATRICULA ,2,0,0,0,1
,CANCELAMENTO P/ MUDANCA CURSO,1,0,0,1,0
,CANCELAMENTO P/ SOLICITACAO ALUNO,3,1,7,1,2
,CANCELAMENTO POR ABANDONO,4,1,4,2,0
,CONCLUIDO - NAO COLOU GRAU,1,0,0,1,0
,GRADUADO,9,4,4,4,0
,Total:,24,21,20,21,10
"13304200 - CIÊNCIAS ECONÔMICAS - N 
(Campina Grande)",CANCELADO 3 REPROV MESMA DISCIPLINA,1,0,3,1,0
,CANCELADO NOVO INGRESSO MESMO CURSO,0,1,0,1,0
,CANCELADO NOVO INGRESSO OUTRO CURSO,0,0,1,0,1
,CANCELADO REPROVOU TODAS POR FALTAS,13,7,12,3,13
,CANCELAMENTO DE MATRICULA ,1,1,0,2,1
,CANCELAMENTO P/ MUDANCA CURSO,1,0,0,0,0
,CANCELAMENTO P/ SOLICITACAO ALUNO,4,0,0,6,2
,CANCELAMENTO POR ABANDONO,7,1,4,5,0
,GRADUADO,2,3,2,10,0
,Total:,29,13,22,28,17
"13305150 - CIÊNCIAS SOCIAIS (BAC) - D 
(Campina Grande)",CANCELADO 3 REPROV MESMA DISCIPLINA,1,1,0,0,1
,CANCELADO NOVO INGRESSO MESMO CURSO,1,0,0,0,1
,CANCELADO NOVO INGRESSO OUTRO CURSO,0,2,0,1,0
,,2018.1,2018.2,2019.1,2019.2,2020.1
"13305150 - CIÊNCIAS SOCIAIS (BAC) - D 
(Campina Grande)",CANCELADO REPROVOU TODAS POR FALTAS,1,2,4,1,4
,CANCELAMENTO DE MATRICULA ,0,0,0,1,0
,CANCELAMENTO P/ MUDANCA CURSO,1,0,0,2,0
,CANCELAMENTO P/ SOLICITACAO ALUNO,4,3,10,3,4
,CANCELAMENTO POR ABANDONO,0,6,0,6,0
,GRADUADO,2,1,3,2,0
,Total:,10,15,17,16,10
"13305210 - CIÊNCIAS SOCIAIS (LIC) - N 
(Campina Grande)",CANCELADO 3 REPROV MESMA DISCIPLINA,0,1,0,0,0
,CANCELADO NOVO INGRESSO MESMO CURSO,0,1,0,1,0
,CANCELADO NOVO INGRESSO OUTRO CURSO,0,0,0,0,1
,CANCELADO REPROVOU TODAS POR FALTAS,9,3,0,5,8
,CANCELAMENTO P/ MUDANCA CURSO,2,0,0,1,0
,CANCELAMENTO P/ SOLICITACAO ALUNO,2,1,3,4,2
,CANCELAMENTO POR ABANDONO,6,0,7,3,0
,GRADUADO,5,6,4,5,0
,Total:,24,12,14,19,11
"71305210 - CIÊNCIAS SOCIAIS (LIC) - N 
(Sumé)",CANCELADO 3 REPROV MESMA DISCIPLINA,1,0,0,1,0
,CANCELADO NOVO INGRESSO MESMO CURSO,0,0,1,0,0
,CANCELADO NOVO INGRESSO OUTRO CURSO,0,1,0,0,0
,CANCELADO REPROVOU TODAS POR FALTAS,0,2,5,0,3
,CANCELAMENTO DE MATRICULA ,2,0,3,0,7
,CANCELAMENTO P/ MUDANCA CURSO,0,0,0,1,0
,CANCELAMENTO P/ SOLICITACAO ALUNO,2,0,2,0,0
,CANCELAMENTO POR ABANDONO,1,17,0,11,0
,GRADUADO,10,10,7,5,0
,Total:,16,30,18,18,10
,,2018.1,2018.2,2019.1,2019.2,2020.1
"13306100 - COMUNICAÇÃO SOCIAL - D 
(Campina Grande)",CANCELADO 3 REPROV MESMA DISCIPLINA,1,0,0,0,0
,CANCELADO NOVO INGRESSO MESMO CURSO,0,2,0,0,0
,CANCELADO NOVO INGRESSO OUTRO CURSO,1,0,0,0,0
,CANCELADO REPROVOU TODAS POR FALTAS,1,3,2,2,5
,CANCELAMENTO P/ MUDANCA CURSO,0,0,0,1,0
,CANCELAMENTO P/ SOLICITACAO ALUNO,4,1,2,2,0
,CANCELAMENTO POR ABANDONO,2,5,6,1,0
,GRADUADO,11,11,5,9,0
,Total:,20,22,15,15,5
"13306200 - COMUNICAÇÃO SOCIAL - N 
(Campina Grande)",CANCELADO 3 REPROV MESMA DISCIPLINA,1,0,0,0,1
,CANCELADO NOVO INGRESSO MESMO CURSO,0,1,0,0,0
,CANCELADO NOVO INGRESSO OUTRO CURSO,0,1,1,0,1
,CANCELADO REPROVOU TODAS POR FALTAS,1,1,5,1,8
,CANCELAMENTO P/ MUDANCA CURSO,1,0,0,2,0
,CANCELAMENTO P/ SOLICITACAO ALUNO,4,1,4,1,0
,CANCELAMENTO POR ABANDONO,8,5,6,2,0
,GRADUADO,7,1,6,7,0
,Total:,22,10,22,13,10
"11104120 - DESIGN - D 
(Campina Grande)",CANCELADO 3 REPROV MESMA DISCIPLINA,2,3,0,1,0
,CANCELADO NOVO INGRESSO MESMO CURSO,1,1,0,1,0
,CANCELADO NOVO INGRESSO OUTRO CURSO,1,8,0,5,0
,CANCELADO REPROVOU TODAS POR FALTAS,1,3,5,3,1
,CANCELAMENTO DE MATRICULA ,1,4,3,0,2
,CANCELAMENTO P/ MUDANCA CURSO,1,0,0,0,1
,CANCELAMENTO P/ SOLICITACAO ALUNO,0,0,9,3,3
,CANCELAMENTO POR ABANDONO,10,11,5,3,0
,,2018.1,2018.2,2019.1,2019.2,2020.1
"11104120 - DESIGN - D 
(Campina Grande)",GRADUADO,19,14,6,22,0
,Total:,36,44,28,38,7
"31350100 - DIREITO - M 
(Sousa)",CANCELADO NOVO INGRESSO MESMO CURSO,1,0,0,0,0
,CANCELADO NOVO INGRESSO OUTRO CURSO,0,0,0,0,1
,CANCELADO REPROVOU TODAS POR FALTAS,4,0,1,1,2
,CANCELAMENTO P/ MUDANCA CURSO,2,0,0,2,2
,CANCELAMENTO P/ SOLICITACAO ALUNO,2,0,6,5,4
,CANCELAMENTO POR ABANDONO,3,6,1,1,0
,CONCLUIDO - NAO COLOU GRAU,0,0,1,0,0
,GRADUADO,5,51,5,49,0
,Total:,17,57,14,58,9
"31350200 - DIREITO - N 
(Sousa)",CANCELADO 3 REPROV MESMA DISCIPLINA,0,0,0,0,1
,CANCELADO NOVO INGRESSO MESMO CURSO,0,0,1,0,0
,CANCELADO REPROVOU TODAS POR FALTAS,2,0,2,6,2
,CANCELAMENTO P/ MUDANCA CURSO,6,0,0,0,2
,CANCELAMENTO P/ SOLICITACAO ALUNO,2,1,3,2,1
,CANCELAMENTO POR ABANDONO,5,13,4,7,0
,GRADUADO,38,2,40,2,0
,Total:,53,16,50,17,6
"31350300 - DIREITO - V 
(Sousa)",CANCELADO 3 REPROV MESMA DISCIPLINA,0,0,0,0,1
,CANCELADO NOVO INGRESSO OUTRO CURSO,0,1,0,0,0
,CANCELADO REPROVOU TODAS POR FALTAS,0,0,0,1,2
,CANCELAMENTO P/ MUDANCA CURSO,1,0,0,0,1
,CANCELAMENTO P/ SOLICITACAO ALUNO,3,3,4,1,2
,CANCELAMENTO POR ABANDONO,2,3,4,2,0
,,2018.1,2018.2,2019.1,2019.2,2020.1
"31350300 - DIREITO - V 
(Sousa)",GRADUADO,3,58,2,35,0
,Total:,9,65,10,39,6
"12204100 - ENFERMAGEM - D 
(Campina Grande)",CANCELADO 3 REPROV MESMA DISCIPLINA,1,0,0,0,0
,CANCELADO NOVO INGRESSO MESMO CURSO,0,0,0,1,1
,CANCELADO REPROVOU TODAS POR FALTAS,3,5,4,5,1
,CANCELAMENTO P/ SOLICITACAO ALUNO,2,0,4,4,8
,CANCELAMENTO POR ABANDONO,2,2,0,1,0
,CONCLUIDO - NAO COLOU GRAU,0,0,0,1,0
,GRADUADO,13,11,11,13,0
,Total:,21,18,19,25,10
"21204100 - ENFERMAGEM - D 
(Cajazeiras)",CANCELADO 3 REPROV MESMA DISCIPLINA,1,0,1,0,0
,CANCELADO NOVO INGRESSO OUTRO CURSO,0,0,1,0,0
,CANCELADO REPROVOU TODAS POR FALTAS,1,0,2,0,0
